REFUSE_AREA,NEW_ROUTE_ID,Residual_Week,Residual_Day,Recylcing_Week,Recycling_Day,Glass_Week,Glass_Day,Column1,Column2,Postcode,FULL_ADDRESS,NOTE,Column3
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"EDINMORE COTTAGE, PORT BANNATYNE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"ETTRICK SMITHY, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"KILMACHALMAIG HOUSE  CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"LOWER ETTRICK COTTAGE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"LOWER ETTRICK FARM, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"MID ST COLMAC COTTAGE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"MID ST COLMAC FARM, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QT,"WEST ST COLMAC FARM, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QA,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QE,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QF,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QG,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QU,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 0QX,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 9PA,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 9PB,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 9PD,,No Change,7.00 am
BUTE,Bute_15,2,Tuesday,1,Monday,,,,,PA20 9PE,,No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"1 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"2 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"3 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"4 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"5 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"6 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"7 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"8 CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QT,"CNOC-AN-RAER HOUSE, CNOC-AN-RAER, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0NU,,No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QL,,No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QP,,No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QW,,No Change,7.00 am
BUTE,Bute_16,2,Tuesday,1,Tuesday,,,,,PA20 0QZ,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LP,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LR,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LS,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LT,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LU,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LW,,"Potential to move Residual to Week 2, Tuesday",7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LX,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9LZ,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NA,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NG,,"Potential to move Residual to Week 2, Tuesday",7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NJ,,"Potential to move Residual to Week 2, Tuesday",7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NL,,"Potential to move Residual to Week 2, Tuesday",7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NN,,"Potential to move Residual to Week 2, Tuesday",7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NP,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NR,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NS,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NT,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NU,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NW,,"Potential to move Residual to Week 2, Tuesday",7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9NX,,No Change,7.00 am
BUTE,Bute_17,2,Tuesday,2,Tuesday,,,,,PA20 9PF,,No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,All addresses at this postcode except those listed below,No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"ASCOG FARM, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"BALMORY COTTAGE, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"BALMORY HALL, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"BALMORY LODGE, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"BEECH PARK BALMORY ROAD, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"MEIKLE ASCOG, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"SOUTH PARK LODGE, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"SOUTHPARK, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"STABLE COTT BALMORY ROAD, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"THE HAYLOFT BALMORY ROAD, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LL,"THE HUF HAUS  BALMORY ROAD, ASCOG, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9ET,,No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9EU,,No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LH,,Updated 03/08/16,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LJ,,No Change,7.00 am
BUTE,Bute_18,2,Tuesday,2,Wednesday,,,,,PA20 9LN,,No Change,7.00 am
BUTE,Bute_20,2,Wednesday,1,Thursday,,,,,PA20 9AP,,No Change,7.00 am
BUTE,Bute_20,2,Wednesday,1,Thursday,,,,,PA20 9BG,,No Change,7.00 am
BUTE,Bute_20,2,Wednesday,1,Thursday,,,,,PA20 9BH,,No Change,7.00 am
BUTE,Bute_20,2,Wednesday,1,Thursday,,,,,PA20 9BJ,,No Change,7.00 am
BUTE,Bute_20,2,Wednesday,1,Thursday,,,,,PA20 9BL,,No Change,7.00 am
BUTE,Bute_20,2,Wednesday,1,Thursday,,,,,PA20 9BQ,,No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"1 VICTORIA PLACE, 44 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"10 VICTORIA PLACE, 46 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"11 VICTORIA PLACE, 46 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"12 VICTORIA PLACE, 46 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"13 VICTORIA PLACE, 48 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"14 VICTORIA PLACE, 48 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"15 VICTORIA PLACE, 48 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"16 VICTORIA PLACE, 48 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"17 VICTORIA PLACE, 48 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"18 VICTORIA PLACE, 48 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"19 VICTORIA PLACE, 50 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"2 VICTORIA PLACE, 44 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"20 VICTORIA PLACE, 50 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"21 VICTORIA PLACE, 50 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"22 VICTORIA PLACE, 50 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"23 VICTORIA PLACE, 50 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"24 VICTORIA PLACE, 50 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"3 VICTORIA PLACE, 44 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"4 VICTORIA PLACE, 44 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"5 VICTORIA PLACE, 44 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"6 VICTORIA PLACE, 44 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"7 VICTORIA PLACE, 46 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"8 VICTORIA PLACE, 46 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_21,2,Wednesday,1,Friday,,,,,PA20 0BT,"9 VICTORIA PLACE, 46 MONTAGUE STREET, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JR,"10 BLAIN  TERRACE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JY,"17 WESTLANDS ROAD, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JY,"19 WESTLANDS ROAD, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JR,"2 BLAIN  TERRACE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JY,"21 WESTLANDS ROAD, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JY,"23 WESTLANDS ROAD, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JR,"4 BLAIN  TERRACE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JR,"6 BLAIN  TERRACE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JR,"8 BLAIN  TERRACE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JR,All addresses at this postcode except those listed below,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JS,,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JT,,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JU,,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JW,,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0JX,,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,PA20 0RA,,No Change,7.00 am
BUTE,Bute_22,2,Wednesday,2,Thursday,,,,,,,No Change,7.00 am
BUTE,Bute_23,2,Wednesday,2,Friday,,,,,PA20 9DD,,No Change,7.00 am
BUTE,Bute_23,2,Wednesday,2,Friday,,,,,PA20 9HA,,No Change,7.00 am
BUTE,Bute_23,2,Wednesday,2,Friday,,,,,PA20 9HB,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9AL,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9AZ,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9BB,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9BD,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9BN,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9BS,,No Change,7.00 am
BUTE,Bute_24,2,Thursday,1,Thursday,,,,,PA20 9JH,,No Change,7.00 am
BUTE,Bute_25,2,Thursday,1,Friday,,,,,PA20 9AU,,No Change,7.00 am
BUTE,Bute_25,2,Thursday,1,Friday,,,,,PA20 9AY,,No Change,7.00 am
BUTE,Bute_26,2,Thursday,2,Thursday,,,,,PA20 0PZ,,"Move Residual to Week 2, Thursday",7.00 am
BUTE,Bute_26,2,Thursday,2,Thursday,,,,,PA20 0QB,,"Move Residual to Week 2, Thursday",7.00 am
BUTE,Bute_27,2,Thursday,2,Friday,,,,,PA20 9AR,,No Change,7.00 am
BUTE,Bute_27,2,Thursday,2,Friday,,,,,PA20 9AS,,No Change,7.00 am
BUTE,Bute_28,3,Monday,2,Thursday,,,,,PA20 0PY,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9AA,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9AB,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9AF,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9AG,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9DA,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9DG,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9DH,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9DL,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9DN,,No Change,7.00 am
BUTE,Bute_3,1,Monday,2,Friday,,,,,PA20 9DW,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LH,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LJ,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LL,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LN,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LR,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LS,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LT,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LU,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LW,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LX,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LY,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0LZ,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0NA,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0NB,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0ND,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0PH,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0PJ,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0PL,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0PN,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0PQ,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0QQ,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0QR,,No Change,7.00 am
BUTE,Bute_30,3,Tuesday,1,Tuesday,,,,,PA20 0QS,,No Change,7.00 am
BUTE,Bute_31,3,Wednesday,1,Wednesday,,,,,PA20 0PG,,"Residual move to Week 3, Wednesday",7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"1 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"10 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"11 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"12 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"14 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"15 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"16 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"17 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"18 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"3 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"5 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"6 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"7 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LD,"9 CRAIGNETHAN, MOUNT STUART ROAD, ROTHESAY",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9LL,"CRAIGALLEN, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9EZ,"STABLE COTTAGE, ARDENCRAIG LANE, ROTHESAY, BUTE",No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9EP,,No Change,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9ER,,Updated 03/08/16,7.00 am
BUTE,Bute_32,3,Tuesday,2,Wednesday,,,,,PA20 9ES,,No Change,7.00 am
